Distrito,Zona
Água Rasa,Zona Leste 1
Alto de Pinheiros,Centro Ampliado
Anhanguera,Zona Norte
Aricanduva,Zona Leste 1
Artur Alvim,Zona Leste 1
Barra Funda,Centro Ampliado
Bela Vista,Centro Ampliado
Belém,Zona Leste 1
Bom Retiro,Centro Ampliado
Brás,Zona Leste 1
Brasilândia,Zona Norte
Butantã,Centro Ampliado
Cachoeirinha,Zona Norte
Cambuci,Centro Ampliado
Campo Belo,Centro Ampliado
Campo Grande,Zona Sul
Campo Limpo,Zona Sul
Cangaiba,Zona Leste 2
Capão Redondo,Zona Sul
Carrão,Zona Leste 1
Casa Verde,Zona Norte
Cidade Ademar,Zona Sul
Cidade Dutra,Zona Sul
Cidade Lider,Zona Leste 1
Cidade Tiradentes,Zona Leste 2
Consolação,Centro Ampliado
Cursino,Centro Ampliado
Ermelino Matarazzo,Zona Leste 2
Freguesia do Ó,Zona Norte
Grajaú,Zona Sul
Guaianases,Zona Leste 2
Moema,Centro Ampliado
Iguatemi,Zona Leste 2
Ipiranga,Centro Ampliado
Itaim Bibi,Centro Ampliado
Itaim Paulista,Zona Leste 2
Itaquera,Zona Leste 2
Jabaquara,Centro Ampliado
Jaçanã,Zona Norte
Jaguara,Centro Ampliado
Jaguaré,Centro Ampliado
Jaraguá,Zona Norte
Jardim Ângela,Zona Sul
Jardim Helena,Zona Leste 2
Jardim Paulista,Centro Ampliado
Jardim São Luís,Zona Sul
José Bonifácio,Zona Leste 2
Lapa,Centro Ampliado
Liberdade,Centro Ampliado
Limão,Zona Norte
Mandaqui,Zona Norte
Marsilac,Zona Sul
Mooca,Zona Leste 1
Morumbi,Centro Ampliado
Parelheiros,Zona Sul
Pari,Zona Leste 1
Parque do Carmo,Zona Leste 2
Pedreira,Zona Sul
Penha,Zona Leste 1
Perdizes,Centro Ampliado
Perus,Zona Norte
Pinheiros,Centro Ampliado
Pirituba,Zona Norte
Ponte Rasa,Zona Leste 2
Raposo Tavares,Centro Ampliado
República,Centro Ampliado
Rio Pequeno,Centro Ampliado
Sacomã,Centro Ampliado
Santa Cecília,Centro Ampliado
Santana,Zona Norte
Santo Amaro,Zona Sul
São Lucas,Zona Leste 1
São Mateus,Zona Leste 2
São Miguel,Zona Leste 2
São Rafael,Zona Leste 2
Sapopemba,Zona Leste 1
Saúde,Centro Ampliado
Sé,Centro Ampliado
Socorro,Zona Sul
Tatuapé,Zona Leste 1
Tremembé,Zona Norte
Tucuruvi,Zona Norte
Vila Andrade,Zona Sul
Vila Curuçá,Zona Leste 2
Vila Formosa,Zona Leste 1
Vila Guilherme,Zona Norte
Vila Jacuí,Zona Leste 2
Vila Leopoldina,Centro Ampliado
Vila Maria,Zona Norte
Vila Mariana,Centro Ampliado
Vila Matilde,Zona Leste 1
Vila Medeiros,Zona Norte
Vila Prudente,Zona Leste 1
Vila Sônia,Centro Ampliado
São Domingos,Zona Norte
Lajeado,Zona Leste 2
